"childid","l5cathol","l5public","r5race","w3povrty","w3daded","w3momed","w3inccat","p5fstamp","w3momscr","w3dadscr","p5numpla","p5hmage","p5hdage","c5r2mtsc","w3income","c5r2mtsc_std"
"0746020C",-1,1,1,2,3,5,10,2,38.18,53.5,1,36,40,53.197,NA,0.25479615658502
"0746022C",-1,1,1,2,8,5,12,2,NA,64.89,2,45,41,70.124,NA,1.97932392954246
"0746023C",-1,1,1,2,5,5,8,2,NA,53.5,2,30,30,62.288,NA,1.18098992889884
"0746024C",-1,1,1,2,3,5,10,2,34.95,39.18,1,33,33,52.665,NA,0.20059583903239
"0748001C",-1,1,8,1,-1,3,2,1,NA,NA,1,27,NA,53.263,NA,0.261520256131022
"0748002C",-1,1,1,2,6,5,9,2,38.18,34.95,1,30,30,52.771,NA,0.211395150424455
"0748003C",-1,1,1,1,-1,3,3,1,38.18,NA,2,31,NA,53.562,NA,0.291982464680338
"0748004C",-1,1,1,2,-1,3,5,2,38.18,NA,1,34,NA,55.967,NA,0.537004576924838
"0748005C",-1,1,1,1,8,5,5,2,38.18,38.18,1,36,48,48.384,NA,-0.235553708792435
"0748006C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.717,NA,-1.32231082784112
"0748007C",-1,1,4,2,2,2,8,2,NA,33.42,1,43,50,53.466,NA,0.282201956249789
"0748008C",-1,1,8,2,3,2,5,2,38.18,NA,1,32,NA,38.491,NA,-1.24345547861981
"0748009C",-1,1,1,2,2,4,5,2,38.18,29.6,3,35,36,44.971,NA,-0.583271159557707
"0748010C",-9,-9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.497,NA,0.591001133885165
"0748011C",-1,1,1,2,5,3,11,2,NA,35.78,1,44,43,48.234,NA,-0.250835753215169
"0748012C",-1,1,1,2,5,8,11,2,63.43,39.18,1,43,43,62.1,NA,1.16183643322235
"0748013C",-1,1,4,2,2,2,8,2,NA,33.42,1,43,50,51.544,NA,0.0863880270464917
"0748014C",-1,1,1,1,-1,5,2,1,38.18,NA,2,43,NA,32.802,NA,-1.82305248342603
"0748015C",-1,1,1,1,6,5,3,2,33.42,33.42,1,35,33,53.747,NA,0.310830319468377
"0748016C",-1,1,1,2,8,8,10,2,34.95,35.78,1,47,48,36.161,NA,-1.48083656865294
"0748017C",-1,1,2,2,-1,4,6,2,34.95,NA,1,29,NA,53.687,NA,0.304717501699283
"0748018C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.771,NA,-0.603647218788018
"0748019C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.245,NA,1.38036966846745
"0748020C",-1,1,1,2,3,5,11,2,61.56,39.2,1,32,27,59.09,NA,0.855176741806158
"0748022C",-1,1,1,2,3,-1,11,2,NA,NA,1,NA,37,35.105,NA,-1.58842216138899
"0748023C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.387,NA,-0.948410140964895
"0748024C",-1,1,1,1,-1,1,3,1,NA,NA,3,26,NA,38.821,NA,-1.2098349808898
"0749001C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.87,NA,-0.797321661772133
"0749007C",-1,1,1,2,6,8,11,2,59,35.78,1,39,41,57.874,NA,0.731290301685862
"0749012C",-1,1,1,1,3,2,4,2,NA,35.92,2,37,56,23.517,NA,-2.76901103319326
"0749013C",-1,1,1,2,6,8,11,2,59,35.78,1,39,41,40.469,NA,-1.04193625283203
"0749015C",-1,1,8,2,-1,3,5,2,NA,NA,1,59,NA,35.495,NA,-1.54868884588988
"0749016C",-1,1,1,1,1,5,2,1,35.78,NA,1,40,48,40.967,NA,-0.99119986534855
"0749017C",-1,1,2,2,-1,3,4,1,NA,NA,1,29,NA,35.762,NA,-1.52148680681741
"0749022C",-1,1,1,2,-1,3,5,2,33.42,NA,1,35,NA,62.597,NA,1.21247094040968
"0749023C",-1,1,1,2,-1,3,4,2,38.18,NA,1,41,NA,39.109,NA,-1.18049345559815
"0749024C",-1,1,8,1,-1,2,1,1,NA,NA,2,36,NA,49.963,NA,-0.074684721169123
"0750001C",-9,-9,1,2,5,3,11,2,38.18,35.63,3,44,44,63.1,NA,1.26371672937391
"0750002C",-9,-9,1,2,6,5,12,2,35.78,39.2,1,36,40,49.245,NA,-0.147834773805943
"0750003C",-9,-9,1,2,5,5,10,2,53.5,38.18,1,36,39,48.104,NA,-0.264080191714872
"0750004C",-9,-9,1,2,8,8,11,2,NA,64.89,1,44,44,55.644,NA,0.504097241267884
"0750006C",-9,-9,1,2,-1,8,10,2,63.43,NA,1,50,NA,58.696,NA,0.815035905122443
"0750007C",-9,-9,1,2,5,5,8,2,NA,53.5,1,39,43,53.724,NA,0.308487072656891
"0750008C",-9,-9,1,1,3,3,5,1,NA,34.95,1,30,34,56.121,NA,0.552694142532179
"0750010C",-9,-9,1,2,-1,5,8,2,35.78,NA,1,33,NA,57.302,NA,0.67301477228717
"0750012C",-1,1,1,1,-1,3,3,1,NA,NA,2,31,NA,50.487,NA,-0.0212994459857059
"0750014C",-1,1,1,2,6,6,12,2,NA,33.42,1,37,41,48.146,NA,-0.259801219276506
"0750018C",-9,-9,1,2,3,3,10,2,38.18,33.42,1,37,40,57.129,NA,0.65538948105295
"0750019C",-9,-9,6,2,2,4,6,1,NA,38.18,1,33,43,47.113,NA,-0.365043565201067
"0750020C",-1,1,1,2,3,-1,5,2,NA,33.42,2,NA,39,56.764,NA,0.618203172957631
"0750021C",-9,-9,1,2,5,4,10,2,34.95,35.78,1,32,29,51.221,NA,0.053480691389538
"0750022C",-9,-9,1,2,5,7,5,2,NA,29.6,1,39,42,52.938,NA,0.228409159881766
"0750024C",-9,-9,1,2,3,3,8,2,34.95,33.42,1,42,39,53.205,NA,0.255611198954232
"0751002C",-1,1,1,2,7,9,12,2,53.5,53.5,1,45,45,53.217,NA,0.25683376250805
"0751004C",-1,1,1,2,-1,1,4,2,NA,NA,3,32,NA,40.682,NA,-1.02023574975174
"0751005C",-1,1,1,2,5,3,10,2,NA,53.5,NA,50,51,40.404,NA,-1.04855847208188
"0751006C",-1,1,1,1,2,2,3,1,37.67,29.6,1,41,45,40.627,NA,-1.02583916604008
"0751007C",-1,1,2,2,2,5,7,1,NA,35.63,1,42,49,36.052,NA,-1.49194152093346
"0751008C",-1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.343,NA,0.473431272126266
"0751009C",-1,1,1,1,1,1,2,2,NA,NA,2,55,56,44.535,NA,-0.627690968679787
"0751010C",-1,1,1,1,-1,2,2,1,NA,NA,2,30,NA,34.231,NA,-1.67746554022545
"0751011C",-1,1,8,2,2,6,5,2,63.43,35.63,1,29,40,40.479,NA,-1.04091744987051
"0751012C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.814,NA,-0.293625477598824
"0751013C",-1,1,2,1,-1,3,5,1,33.42,NA,1,34,NA,51.081,NA,0.0392174499283204
"0751014C",-1,1,1,1,3,5,5,1,NA,29.6,1,31,34,46.016,NA,-0.476806250079327
"0751015C",-1,1,1,2,-1,3,5,1,33.42,NA,2,39,NA,40.271,NA,-1.06210855147003
"0751017C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.953,NA,-1.9095488548587
"0751018C",-1,1,2,2,4,3,7,2,34.95,39.2,1,35,36,37.924,NA,-1.30122160653774
"0751019C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.145,NA,-0.158022803421098
"0751020C",-1,1,2,1,-1,3,1,1,34.95,NA,1,31,NA,31.884,NA,-1.91657859529316
"0751021C",-1,1,1,2,6,3,10,2,NA,64.89,1,33,35,51.311,NA,0.0626499180431787
"0751023C",-1,1,3,2,3,3,10,2,NA,39.2,1,40,46,44.084,NA,-0.673638982244139
"0751024C",-1,1,8,1,-1,2,3,1,34.95,NA,3,26,NA,27.541,NA,-2.35904472147938
"0752001C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.242,NA,0.259380769911839
"0752003C",-1,1,1,2,8,8,11,2,63.43,63.43,1,36,39,51.682,NA,0.100447507915407
"0752004C",-1,1,1,2,5,6,10,2,57.83,48.69,1,36,35,50.593,NA,-0.0105001345936404
"0752005C",-1,1,1,2,4,7,10,2,38.18,39.18,1,32,33,59.123,NA,0.858538791579159
"0752007C",-1,1,1,2,3,3,5,2,34.95,39.2,1,33,34,39.49,NA,-1.1416770627644
"0752008C",-1,1,1,2,-1,5,7,2,64.89,NA,2,33,NA,34.507,NA,-1.64934657848762
"0752009C",-1,1,1,1,3,3,4,2,61.56,29.6,1,31,30,44.458,NA,-0.635535751483457
"0752010C",-1,1,1,2,6,4,9,2,57.83,64.89,1,32,30,45.48,NA,-0.531414088816563
"0752011C",-1,1,3,2,3,3,11,2,38.18,39.18,1,41,42,52.911,NA,0.225658391885674
"0752012C",-1,1,1,1,1,3,2,1,33.42,35.63,1,33,35,45.288,NA,-0.550975105677663
"0752013C",-1,1,1,2,7,5,10,2,38.18,33.42,1,38,42,36.561,NA,-1.44008445019232
"0752016C",-1,1,1,2,5,8,10,2,63.43,39.2,1,37,40,49.435,NA,-0.128477517537146
"0752017C",-1,1,3,2,3,3,12,2,NA,39.18,2,29,33,50.468,NA,-0.0232351716125853
"0752020C",-1,1,1,2,5,-1,7,2,NA,37.67,1,NA,38,45.62,NA,-0.517150847355345
"0752022C",-1,1,1,2,3,3,10,2,33.42,33.42,1,30,31,23.314,NA,-2.78969273331202
"0752024C",-1,1,1,1,-1,2,5,1,NA,NA,1,30,NA,34.799,NA,-1.61959753201137
"0753003C",-1,1,1,2,3,3,5,2,33.42,29.6,2,36,34,56.445,NA,0.585703358485284
"0753006C",-1,1,1,1,-1,3,4,2,57.83,NA,1,29,NA,46.143,NA,-0.463867452468079
"0753009C",-1,1,1,1,-1,3,1,2,NA,NA,2,33,NA,28.206,NA,-2.2912943245386
"0753012C",-1,1,1,2,3,6,5,2,34.95,39.18,2,34,34,52.552,NA,0.189083365567264
"0753013C",-1,1,1,1,-1,3,3,1,NA,NA,1,30,NA,46.535,NA,-0.423930376376668
"0753014C",-1,1,1,2,5,3,6,2,NA,33.42,2,33,44,47.067,NA,-0.369730058824038
"0753015C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.547,NA,-0.626468405125968
"0753016C",-1,1,1,1,2,5,3,1,38.18,NA,1,35,39,40.467,NA,-1.04214001342433
"0753017C",-1,1,1,2,-1,6,10,2,59,NA,2,29,NA,53.649,NA,0.300846050445524
"0753018C",-1,1,1,2,3,2,10,2,33.42,33.42,1,27,30,49.496,NA,-0.122262819471901
"0753021C",-1,1,1,2,3,5,8,2,35.78,35.63,1,41,40,36.66,NA,-1.42999830087332
"0753022C",-1,1,1,2,3,4,10,2,33.42,33.42,1,33,34,33.33,NA,-1.76925968705801
"0753023C",-1,1,1,1,4,2,2,1,34.95,NA,1,33,41,49.164,NA,-0.156087077794219
"0753024C",-1,1,1,2,5,3,12,2,38.18,62.87,1,38,36,58.775,NA,0.823084448518416
"0753040C",-1,1,1,2,3,3,5,2,35.78,33.42,1,31,30,29.17,NA,-2.19308171904849
"0754001C",-9,-9,1,2,2,2,7,2,35.78,39.2,1,31,31,39.13,NA,-1.17835396937896
"0754002C",-1,1,1,2,4,3,8,2,NA,37.67,1,32,31,33.653,NA,-1.73635235140105
"0754003C",-1,1,1,2,2,4,9,2,NA,39.2,1,38,39,49.896,NA,-0.0815107010112775
"0754004C",-1,1,1,2,-1,5,4,2,34.95,NA,1,28,NA,33.674,NA,-1.73421286518187
"0754005C",-1,1,1,1,3,3,4,1,38.18,NA,2,28,31,40.972,NA,-0.990690463867792
"0754008C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.72,NA,-0.506962817740189
"0754009C",-1,1,1,1,3,3,5,2,34.95,39.2,1,34,34,36.516,NA,-1.44466906351914
"0754010C",-1,1,1,1,3,2,3,1,NA,NA,2,37,46,39.205,NA,-1.1707129471676
"0754011C",-1,1,1,2,3,5,8,2,NA,33.42,1,28,36,51.526,NA,0.0845541817157643
"0754012C",-1,1,1,2,2,3,9,2,35.78,NA,2,37,41,55.696,NA,0.509395016667766
"0754014C",-1,1,1,1,2,3,2,1,NA,NA,1,30,28,43.882,NA,-0.694218802066755
"0754015C",-1,1,3,2,3,3,6,2,35.78,33.42,1,32,33,54.25,NA,0.362076108432611
"0754016C",-1,1,8,1,-1,3,2,1,34.95,NA,2,29,NA,44.456,NA,-0.635739512075759
"0754017C",-1,1,1,1,-1,3,2,1,34.95,NA,2,37,NA,56.219,NA,0.562678411555031
"0754018C",-1,1,1,1,2,3,2,1,NA,33.42,1,30,36,27.547,NA,-2.35843343970247
"0754020C",-1,1,3,1,3,3,4,2,33.42,38.18,1,41,41,27.699,NA,-2.34294763468744
"0754021C",-1,1,1,1,2,3,4,2,NA,35.63,1,33,40,50.228,NA,-0.0476864426889597
"0754022C",-1,1,4,1,5,4,4,2,NA,33.42,1,40,36,48.125,NA,-0.261940705495689
"0755002C",-1,1,1,2,3,5,8,2,33.42,29.6,3,32,31,31.19,NA,-1.98728352082234
"0755004C",-1,1,1,2,3,5,10,2,NA,35.92,1,39,37,46.091,NA,-0.46916522786796
"0755009C",-1,1,1,2,5,3,8,2,NA,35.92,1,44,55,45.632,NA,-0.515928283801526
"0755010C",-1,1,1,2,3,8,11,2,57.83,35.92,1,42,44,55.322,NA,0.471291785907083
"0755014C",-1,1,1,1,-1,3,2,2,35.78,NA,1,32,NA,46.746,NA,-0.402433633888689
"0755017C",-1,1,1,1,-1,1,2,2,NA,NA,1,45,NA,42.142,NA,-0.871490517370467
"0755018C",-1,1,1,2,3,2,6,2,53.5,53.5,1,48,51,41.249,NA,-0.96246962183381
"0755021C",-1,1,3,2,3,3,10,2,NA,35.92,1,28,34,55.665,NA,0.506236727487067
"0755022C",-1,1,1,2,3,3,5,2,NA,35.92,1,37,34,41.02,NA,-0.985800209652517
"0755023C",-1,1,1,2,9,6,9,2,53.5,77.5,1,46,41,58.481,NA,0.793131641449858
"0755024C",-1,1,1,2,8,5,10,2,35.78,63.43,1,41,45,57.363,NA,0.679229470352415
"0757002C",-1,1,1,1,-1,2,1,1,NA,NA,1,32,NA,48.534,NA,-0.220271664369701
"0757003C",-1,1,2,1,-1,3,2,2,NA,NA,1,32,NA,46.439,NA,-0.433710884807218
"0757004C",-1,1,2,1,-1,5,1,1,NA,NA,1,31,NA,46.2,NA,-0.45806027558744
"0757005C",-1,1,2,1,-1,2,1,1,33.42,NA,3,40,NA,44.093,NA,-0.672722059578775
"0757006C",-1,1,1,2,5,5,8,2,34.95,39.18,1,41,50,44.844,NA,-0.596209957168954
"0757007C",-1,1,2,2,-1,6,4,2,38.18,NA,1,44,NA,45.695,NA,-0.509509825143978
"0757009C",-1,1,2,1,2,3,4,1,33.42,39.2,2,34,39,39.334,NA,-1.15757038896405
"0757010C",-1,1,2,1,-1,3,6,1,NA,NA,1,41,NA,19.891,NA,-3.13842898703881
"0757011C",-1,1,2,2,5,5,10,2,NA,35.92,2,32,36,44.088,NA,-0.673231461059533
"0757012C",-1,1,2,1,-1,1,2,1,NA,NA,1,27,NA,33.626,NA,-1.73910311939715
"0757013C",-1,1,2,1,-1,5,2,1,38.18,NA,1,48,NA,29.149,NA,-2.19522120526768
"0757014C",-1,1,2,1,-1,2,3,1,37.67,NA,1,44,NA,33.705,NA,-1.73105457600117
"0757016C",-1,1,2,1,5,5,5,2,38.18,39.2,1,25,31,52.274,NA,0.16076064323713
"0757017C",-1,1,2,1,1,6,6,2,38.18,33.42,1,33,42,35.869,NA,-1.5105856151292
"0757018C",-1,1,2,2,2,6,9,2,57.83,35.92,1,34,38,45.054,NA,-0.574815094977127
"0757019C",-1,1,2,2,-1,5,6,2,38.18,NA,1,35,NA,42.334,NA,-0.851929500509368
"0757020C",-1,1,2,1,-1,3,4,-7,38.18,NA,1,39,NA,48.378,NA,-0.236164990569344
"0757021C",-1,1,2,1,-1,2,1,1,35.63,NA,1,27,NA,28.49,NA,-2.26236032043155
"0757022C",-1,1,2,2,-1,3,4,2,33.42,NA,1,29,NA,22.58,NA,-2.86447287068727
"0757023C",-1,1,2,2,5,4,8,2,57.83,33.42,1,36,40,48.907,NA,-0.18227031390517
"0757024C",-1,1,1,2,5,6,9,2,63.43,NA,1,32,34,53.084,NA,0.243283683119893
"0758001C",-1,1,2,1,-1,5,2,1,38.18,NA,1,38,NA,36.628,NA,-1.43325847035016
"0758003C",-1,1,2,1,2,3,1,1,NA,NA,1,26,36,23.942,NA,-2.72571190732884
"0758004C",-1,1,2,1,5,5,6,2,38.18,63.43,1,28,38,44.821,NA,-0.598553203980441
"0758006C",-1,1,2,2,3,3,7,1,35.78,35.63,1,35,36,42.426,NA,-0.842556513263425
"0758008C",-1,1,2,1,-1,2,1,1,NA,NA,NA,25,NA,48.536,NA,-0.220067903777398
"0758009C",-1,1,2,2,-1,6,8,2,29.6,NA,1,31,NA,39.676,NA,-1.12272732768021
"0758010C",-1,1,2,1,-1,2,3,1,NA,NA,1,35,NA,39.63,NA,-1.12741382130318
"0758011C",-1,1,2,1,-1,2,1,1,NA,NA,1,40,NA,34.281,NA,-1.67237152541787
"0758012C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.879,NA,-1.50956681216768
"0758013C",-1,1,2,1,-1,5,4,1,37.67,NA,NA,30,NA,47.722,NA,-0.302998464844767
"0758014C",-1,1,2,1,-1,3,4,1,33.42,NA,NA,32,NA,45.098,NA,-0.570332361946459
"0758015C",-1,1,2,1,-1,5,5,1,NA,NA,NA,34,NA,39.102,NA,-1.18120661767121
"0758016C",-1,1,2,1,3,3,4,2,33.42,33.42,NA,50,47,44.113,NA,-0.670684453655744
"0758017C",-1,1,2,1,2,3,4,2,35.78,35.63,NA,31,28,37.573,NA,-1.33698159048694
"0758018C",-1,1,2,1,-1,3,4,2,34.95,NA,1,46,NA,25.156,NA,-2.60202922780085
"0758019C",-1,1,2,1,-1,3,2,1,NA,NA,NA,35,NA,37.379,NA,-1.35674636794034
"0758020C",-1,1,2,1,3,2,4,2,NA,34.95,NA,40,41,29.133,NA,-2.1968512900061
"0759001C",-1,1,2,1,2,5,5,2,63.43,33.42,NA,35,36,33.32,NA,-1.77027849001952
"0759002C",-1,1,2,2,-1,3,5,2,39.18,NA,NA,66,NA,49.425,NA,-0.129496320498662
"0759004C",-1,1,2,1,-1,4,4,2,34.95,NA,NA,34,NA,30.503,NA,-2.05727528427846
"0759006C",-1,1,2,1,3,1,2,2,NA,64.89,NA,28,52,36.722,NA,-1.42368172251192
"0759008C",-1,1,2,1,-1,3,3,2,35.78,NA,1,29,NA,53.359,NA,0.271300764561572
"0759009C",-1,1,2,1,-1,2,2,1,33.42,NA,1,38,NA,35.016,NA,-1.59748950774648
"0759010C",-1,1,2,2,4,6,5,2,38.18,NA,1,34,31,43.281,NA,-0.755448860053842
"0759012C",-1,1,2,1,-1,3,1,1,38.18,NA,1,33,NA,37.509,NA,-1.34350192944064
"0759013C",-1,1,2,1,-1,3,3,2,35.78,NA,1,33,NA,36.972,NA,-1.39821164847403
"0759014C",-1,1,2,1,-1,5,3,1,34.95,NA,2,32,NA,39.534,NA,-1.13719432973373
"0759015C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.086,NA,-0.571554925500277
"0759017C",-1,1,2,1,-1,5,3,2,NA,NA,2,35,NA,36.797,NA,-1.41604070030055
"0759018C",-1,1,2,2,3,3,5,2,33.42,29.6,1,30,28,37.64,NA,-1.33015561064479
"0759020C",-1,1,2,1,-1,2,1,1,29.6,NA,1,43,NA,36.451,NA,-1.45129128276899
"0759021C",-1,1,2,2,4,3,6,2,35.78,34.95,1,29,31,37.605,NA,-1.33372142101009
"0759022C",-1,1,2,1,-1,5,4,2,38.18,NA,1,43,NA,48.244,NA,-0.249816950253653
"0759023C",-1,1,2,1,-1,3,1,1,37.67,NA,1,31,NA,36.205,NA,-1.47635383562227
"0759024C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.87,NA,-1.10296255022681
"0760002C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.674,NA,0.303393057849313
"0760004C",-1,1,1,1,2,5,4,2,NA,35.92,1,31,35,48.722,NA,-0.201118168693208
"0760005C",-1,1,2,1,-1,5,3,1,35.78,NA,1,32,NA,55.685,NA,0.508274333410099
"0760006C",-1,1,1,2,6,6,9,2,63.43,53.5,1,39,49,50.391,NA,-0.0310799544162559
"0760007C",-1,1,1,2,3,3,7,2,38.18,53.5,1,38,41,57.185,NA,0.661094777637438
"0760008C",-1,1,2,2,-1,6,10,2,38.18,NA,1,31,NA,37.365,NA,-1.35817269208647
"0760009C",-1,1,1,2,2,3,5,1,34.95,33.42,2,33,32,39.213,NA,-1.16989790479838
"0760010C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.735,NA,-0.301674020994797
"0760011C",-1,1,2,1,-1,2,2,1,NA,NA,1,45,NA,46.767,NA,-0.400294147669506
"0760012C",-1,1,1,2,3,5,13,2,NA,35.92,1,31,39,59.657,NA,0.912942869724091
"0760013C",-1,1,2,1,-1,3,3,1,34.95,NA,1,36,NA,54.021,NA,0.338745520613904
"0760014C",-1,1,2,1,-1,2,2,1,35.78,NA,1,28,NA,46.613,NA,-0.415983713276846
"0760016C",-1,1,2,1,-1,2,2,2,NA,NA,1,50,NA,41.151,NA,-0.972453890856662
"0760017C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.414,NA,-1.55694114987816
"0760018C",-1,1,1,2,6,3,9,2,38.18,35.63,2,33,34,35.078,NA,-1.59117292938508
"0760019C",-1,1,1,2,-1,3,6,2,38.18,NA,1,33,NA,51.05,NA,0.0360591607476215
"0760020C",-1,1,2,1,-1,3,3,2,53.5,NA,1,32,NA,45.277,NA,-0.552095788935329
"0760022C",-1,1,2,1,3,5,4,1,34.95,35.92,1,32,33,43.091,NA,-0.774806116322638
"0760023C",-1,1,2,1,-1,5,2,1,38.18,NA,1,28,NA,50.503,NA,-0.0196693612472811
"0761001C",-1,1,2,2,3,5,6,2,38.18,39.18,1,51,46,38.558,NA,-1.23662949877766
"0761002C",-1,1,2,1,-1,3,4,1,34.95,NA,1,38,NA,29.662,NA,-2.14295661334193
"0761003C",-1,1,2,2,-1,6,5,2,59,NA,1,43,NA,57.64,NA,0.707450312386397
"0761004C",-1,1,2,1,-1,5,4,2,37.67,NA,1,37,NA,23.02,NA,-2.81964554038058
"0761005C",-1,1,2,1,-1,3,2,2,53.5,NA,1,40,NA,41.802,NA,-0.906129818061998
"0761006C",-1,1,2,1,-1,5,4,2,63.43,NA,1,44,NA,29.667,NA,-2.14244721186117
"0761007C",-1,1,2,1,-1,3,1,1,35.78,NA,1,38,NA,44.604,NA,-0.620661228245329
"0761009C",-1,1,2,1,-1,6,2,1,35.92,NA,1,30,NA,41.91,NA,-0.89512674607763
"0761010C",-1,1,2,1,-1,2,1,1,33.42,NA,1,30,NA,36.455,NA,-1.45088376158438
"0761012C",-1,1,2,1,3,3,4,2,33.42,35.63,1,40,41,35.869,NA,-1.5105856151292
"0761013C",-1,1,2,1,-1,3,2,1,38.18,NA,1,29,NA,34.021,NA,-1.69886040241728
"0761014C",-1,1,2,1,3,2,2,2,34.95,34.95,2,31,36,31.317,NA,-1.9743447232111
"0761015C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.749,NA,-1.62469154681894
"0761016C",-1,1,2,2,3,6,5,1,33.42,39.18,1,29,35,36.933,NA,-1.40218498002394
"0761018C",-1,1,2,1,2,3,1,1,35.78,39.18,1,45,54,40.529,NA,-1.03582343506293
"0761022C",-1,1,2,1,-1,2,1,2,NA,NA,1,55,NA,32.216,NA,-1.88275433697084
"0761023C",-1,1,2,2,5,5,10,2,38.18,35.92,1,32,32,52.229,NA,0.15617602991031
"0761025C",-1,1,2,1,-1,5,4,2,63.43,NA,1,44,NA,42.839,NA,-0.800479950952831
"0761040C",-1,1,2,1,-1,3,4,1,33.42,NA,1,38,NA,36.943,NA,-1.40116617706242
"0762001C",-1,1,2,1,-1,1,1,1,NA,NA,2,25,NA,34.027,NA,-1.69824912064037
"0762002C",-1,1,1,1,-1,5,3,2,35.78,NA,2,32,NA,68.388,NA,1.80245973542336
"0762003C",-1,1,1,2,3,7,7,2,57.83,39.2,1,31,33,36.833,NA,-1.4123730096391
"0762004C",-1,1,2,2,3,4,10,2,35.92,35.63,1,30,36,41.433,NA,-0.943723647341923
"0762005C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.472,NA,-1.75479268500449
"0762006C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.345,NA,-0.647048224948583
"0762007C",-1,1,1,1,4,2,1,1,NA,35.63,1,29,38,18.577,NA,-3.27229969618196
"0762008C",-1,1,2,1,-1,3,2,2,57.83,NA,1,53,NA,55.327,NA,0.47180118738784
"0762009C",-1,1,1,2,-1,6,7,2,59,NA,1,43,NA,46.761,NA,-0.400905429446415
"0762011C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.516,NA,-1.5465493596707
"0762012C",-1,1,2,2,-1,2,4,1,NA,NA,1,33,NA,34.262,NA,-1.67430725104475
"0762013C",-1,1,2,2,3,3,7,2,33.42,38.18,1,34,35,48.937,NA,-0.179213905020623
"0762014C",-1,1,1,1,5,2,5,2,38.18,39.18,1,32,42,40.321,NA,-1.05701453666246
"0762015C",-1,1,2,2,2,3,13,2,33.42,33.42,2,31,33,40.773,NA,-1.01096464280195
"0762016C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.391,NA,-2.06868587744744
"0762018C",-1,1,1,2,2,3,9,2,38.18,39.2,1,27,34,48.077,NA,-0.266830959710964
"0762019C",-1,1,2,1,5,3,3,2,63.43,NA,1,55,49,42.05,NA,-0.880863504616411
"0762020C",-1,1,2,2,3,4,8,2,57.83,29.6,1,38,43,47.464,NA,-0.32928358125187
"0762024C",-1,1,2,1,-1,3,2,2,33.42,NA,2,28,NA,45.094,NA,-0.570739883131065
"0762025C",-1,1,1,1,5,2,5,2,38.18,39.18,1,32,42,32.222,NA,-1.88214305519393
"0764001C",-1,1,2,2,-1,3,4,2,34.95,NA,1,38,NA,49.64,NA,-0.107592056826077
"0764002C",-1,1,2,2,3,4,5,2,34.95,35.92,2,30,28,48.192,NA,-0.255114725653534
"0764005C",-1,1,2,1,-1,3,5,2,38.18,NA,1,33,NA,37.907,NA,-1.30295357157232
"0764006C",-1,1,2,1,3,2,5,1,34.95,34.95,1,34,38,32.571,NA,-1.84658683183704
"0764007C",-1,1,2,2,2,3,6,2,NA,33.42,1,36,35,53.134,NA,0.248377697927471
"0764008C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.999,NA,-1.29358058432638
"0764009C",-1,1,2,1,2,3,2,2,34.95,39.2,1,37,35,44.287,NA,-0.652957282125373
"0764010C",-1,1,3,1,-1,3,3,2,34.95,NA,2,27,NA,52.183,NA,0.151489536287338
"0764011C",-1,1,2,2,-1,5,4,1,34.95,NA,1,28,NA,46.5,NA,-0.427496186741973
"0764012C",-1,1,2,1,-1,2,1,1,NA,NA,2,43,NA,39.432,NA,-1.14758611994119
"0764013C",-1,1,2,2,-1,5,4,2,59,NA,1,50,NA,39.897,NA,-1.10021178223072
"0764014C",-1,1,2,1,-1,3,3,1,33.42,NA,1,57,NA,52.729,NA,0.20711617798609
